TimeStamp,Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10,Accelerometer_X,Accelerometer_Y,Accelerometer_Z,HeadBandOn,HSI_TP9,HSI_AF7,HSI_AF8,HSI_TP10,Battery,Elements
2022-04-09 14:19:25.900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/event/connected 1180-2TFL-2EF4
2022-04-09 14:19:40.371,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-09 14:19:40.900,1.016671886703064,0.3947266994372839,0.944925499850133,0.8265146066529978,0.5807227461500244,-0.102117555881618,0.4077395940813915,0.7949474703514078,0.757561006742592,-0.5566256106598662,0.2784769284712601,0.582707581383324,0.5517664224719597,-0.2920255533606878,-0.5671304175255024,0.4842948595177422,0.09261992962767022,-0.5922464436310144,-0.7178724610012909,0.09779267780769273,827.4251122699085,840.5849550097877,809.3303285025745,834.0050336398481,0.175782,0.085938,1.007814,1,1,1,1,1,19.280001
2022-04-09 14:19:41.901,0.2750430608466756,0.3361970314857993,0.7220585436998083,0.3619603763148108,0.3556728092690395,-0.4164148638526375,0.1552674567455876,0.08180116603067893,0.201770514968245,-0.6176042105549704,0.1846786129136964,-0.09943413545685881,0.1516159847539377,-0.6548064248678293,-0.5456333654589463,-0.2109304763932037,-0.259733864371236,-0.9627473569934332,-0.7910586409627457,-0.5926362089284878,842.2299353522726,852.0998174071821,825.7801319274236,842.2299353522726,0.136719,0.089844,1.007814,1,2,1,1,2,19.280001
2022-04-09 14:19:42.901,0.7612495285052245,0.3250001941680253,0.4579788018501798,0.7676068145722748,0.1519563363671392,-0.2711124395317289,-0.2725605561184199,0.1616159581684126,0.4602241485820981,-0.19867222274351,-0.3331887757437473,0.3081787819390505,0.1997169216004682,-0.5182624573732911,-0.6927377816275296,-0.1892740383085245,-0.2930730075284725,-0.9530248865979778,-0.9496267748056891,-0.4477032730742406,822.4901712424537,875.1295422019707,832.3600532973632,840.5849550097877,0.171875,0.089844,1.023439,1,1,1,1,1,19.280001
2022-04-09 14:19:43.901,0.9834271713337871,0.3319822702273549,0.4105347738361962,0.9142940789460908,0.4666112439086849,-0.2161537379213892,-0.3971767110999411,0.1731492599760383,0.1390156174943526,-0.2461223686105947,-0.008359611868045113,0.1816208699834361,0.2016752676250738,-0.2941702966896251,-0.3004419614200124,-0.104505785233766,-0.1733073668071552,-0.441369729712711,-0.2110592346751294,-0.1766721376135517,829.0700926123933,847.1648763797273,817.555230214999,834.0050336398481,0.128906,0.066406,1.000002,1,1,1,1,1,19.280001
2022-04-09 14:19:44.858,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-09 14:19:44.901,1.271817370762112,0.4517190894784689,0.9408183107289614,1.064228296443715,1.194705235254925,-0.4005314377274662,0.2140083098645383,1.292829839796388,1.197141582758685,-0.2907835902264432,0.2922071697868344,1.318623033506162,0.2019760927648429,-0.2103692946261539,-0.2104235158629733,0.1609913270121589,-0.1556655585478746,-0.2022708930177029,-0.3444089299914033,-0.05059208332569463,843.8749156947575,834.0050336398481,822.4901712424537,845.5198960372425,0.156250,0.089844,1.019533,1,1,1,1,1,19.280001
2022-04-09 14:19:45.901,1.26266816109655,0.4517190894784689,1.08157225320326,1.088234198895896,1.268838861813975,-0.4005314377274662,0.4518516390084056,1.455338516958112,1.197141582758685,-0.2907835902264432,0.3062918437730651,1.318623033506162,0.2202319016245554,-0.2103692946261539,-0.2920111618513197,0.2953445550028347,-0.2097772622015819,-0.2022708930177029,-0.8012423665626804,0.06985209019303501,847.1648763797273,853.744797749667,822.4901712424537,843.8749156947575,0.128906,0.070313,1.003908,1,1,1,1,1,19.280001
2022-04-09 14:19:46.901,0.75137977974953,0.6052962303629422,0.07840837142785749,0.3820170325107566,0.5613914609616036,-0.4485795868301996,0.01169597605293417,0.1365781470011131,0.9192307348451395,-0.1478363907262588,0.1991434095794693,0.5172702168736648,0.6081063895399638,-0.4271592458205397,-0.4768069071994269,0.2285164324803626,0.2797388531929921,-0.8526812106163687,-0.5665666560730142,0.04712650837614089,838.9399746673027,843.8749156947575,822.4901712424537,860.3247191196066,0.101563,0.109375,1.019533,1,1,1,1,1,19.280001
2022-04-09 14:19:47.649,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-09 14:19:47.905,0.7796219092638889,0.5698310782385415,0.449955304701796,0.6884173151546231,0.6150419009688618,-0.1792196886918228,0.236028094715582,0.2874597982446497,0.9192307348451395,-0.1215573250400806,0.4048448223033562,0.4781538606291381,0.6281602232255247,-0.3808356011794218,-0.2778685609049537,0.3353669911941476,0.07180326796297509,-0.8823072124274522,-0.4713951307473185,-0.006309379656596771,830.7150729548782,838.9399746673027,759.9809182280272,835.650013982333,0.066406,0.082031,1.035158,1,1,1,1,1,19.280001
2022-04-09 14:19:48.514,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-09 14:19:48.901,0.8091865500165942,0.6319421843370299,0.7221158636810828,0.9445986225248015,0.5932440610256262,-0.004014965142040143,0.2643032642020199,0.4962153389000873,0.811416433941627,-0.3417926638711487,0.4048448223033562,0.1950551174978154,0.5475187425696645,-0.4459137977404716,-0.07408650546726374,0.2734374986283335,0.07373496029963623,-0.8005639201694245,-0.4536403138933643,-0.1170663351438805,838.9399746673027,840.5849550097877,804.3953874751197,838.9399746673027,0.132813,0.066406,1.015627,1,1,1,1,1,19.280001
2022-04-09 14:19:49.901,1.138429463044874,0.6319421843370299,0.04101483752385188,0.9445986225248015,0.9276301932557567,-0.004014965142040143,0.002481892319190705,0.4962153389000873,1.094833921636224,-0.3417926638711487,-0.3017892881720112,0.1950551174978154,0.7334513309723081,-0.4459137977404716,-0.6899158914072662,0.2734374986283335,0.1864253371065483,-0.8005639201694245,-0.4901942935578574,-0.1170663351438805,848.8098567222122,866.9046404895462,807.6853481600896,835.650013982333,0.093750,0.101563,1.003908,1,1,1,1,1,19.280001
2022-04-09 14:19:50.900,1.011634134076046,0.6703960575844108,0.08070078921457212,0.9497588010548944,0.22459780184993,-0.001779577096484574,-0.03328509832370206,0.4091585914688396,0.62775704395966,-0.2553041034758713,0.0107969739359457,0.21936356829303,0.3751569051073206,-0.3877432500228307,-0.636959262554322,0.1342892320348478,0.0872719251358432,-0.5198318089387783,-0.5180452496922255,0.1572340400559922,835.650013982333,848.8098567222122,817.555230214999,842.2299353522726,0.121094,0.082031,1.007814,1,1,1,1,1,19.170000
2022-04-09 14:19:51.901,0.7020218623355194,0.6693699104764965,0.05096706481278387,0.8077831578263517,0.09015035079068492,-0.2834760099201171,-0.1680294264192675,0.3235131555445893,0.1479755992922679,-0.4432954540644392,0.09356019688543507,0.4640513995659689,0.04066647254434076,-0.6393382857097734,-0.6005064082679451,-0.07409036154638235,-0.1536473505202332,-0.9723824480202576,-0.6519329125577901,-0.0289883487344368,838.9399746673027,838.9399746673027,809.3303285025745,838.9399746673027,0.125000,0.093750,1.011720,1,1,1,1,1,19.170000
2022-04-09 14:19:52.901,0.2545489618406825,0.3783077113180405,0.1985516927002551,0.3257872112969838,0.1512435431288744,-0.3644883955985219,-0.193791020078691,0.1439729737714672,0.3199769942189944,-0.1044875053672304,0.08957345429504977,0.3697681053893881,-0.06622412349869218,-0.5388900019709481,-0.5877158600973641,-0.1603887784001277,-0.312412750985813,-0.7822842064888538,-0.8067300613507777,-0.3672642290937864,868.5496208320311,921.1889917915481,776.4307216528763,838.9399746673027,0.113281,0.093750,1.019533,1,1,1,1,1,19.170000
2022-04-09 14:19:53.428,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
2022-04-09 14:19:53.650,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,/muse/elements/blink
